@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
104, 50, 106, 209, 66, 10, 207, 32, 23, 158, 223, 635, 220, 73, 14, 9, 188, 196, saab
101, 56, 100, 215, 69, 10, 208, 32, 24, 169, 227, 651, 223, 74, 6, 5, 186, 193, opel
102, 45, 85, 193, 64, 6, 192, 33, 22, 146, 217, 570, 163, 76, 6, 7, 195, 193, bus
80, 38, 63, 129, 55, 7, 146, 46, 19, 130, 168, 314, 158, 83, 9, 20, 180, 185, saab
87, 38, 85, 177, 61, 8, 164, 40, 20, 129, 186, 402, 130, 63, 1, 25, 198, 205, opel
97, 59, 108, 227, 70, 11, 224, 30, 25, 186, 225, 732, 218, 70, 10, 25, 186, 198, opel
77, 38, 75, 144, 59, 6, 147, 46, 19, 132, 167, 315, 136, 80, 16, 20, 181, 187, opel
109, 53, 109, 221, 69, 12, 221, 31, 25, 169, 226, 712, 212, 72, 13, 28, 188, 201, saab
85, 43, 64, 128, 56, 8, 150, 46, 19, 144, 168, 324, 173, 82, 9, 14, 180, 184, bus
89, 37, 54, 119, 53, 5, 134, 50, 18, 127, 151, 266, 146, 79, 16, 14, 184, 185, saab
98, 39, 68, 121, 49, 7, 134, 51, 18, 142, 164, 261, 134, 75, 4, 1, 186, 186, van
88, 37, 63, 130, 58, 5, 125, 54, 18, 130, 141, 230, 145, 74, 14, 20, 184, 188, saab
93, 42, 70, 131, 56, 7, 127, 53, 18, 145, 156, 240, 152, 74, 5, 4, 189, 190, van
91, 45, 75, 154, 57, 6, 150, 44, 19, 146, 170, 335, 180, 66, 16, 2, 193, 198, opel
98, 54, 104, 186, 59, 10, 213, 32, 24, 172, 223, 665, 217, 73, 1, 26, 186, 195, opel
88, 40, 78, 186, 73, 6, 158, 41, 20, 134, 185, 379, 148, 73, 1, 11, 193, 197, bus
86, 43, 66, 130, 56, 7, 152, 44, 19, 142, 177, 340, 173, 81, 6, 14, 181, 185, bus
101, 56, 100, 168, 55, 11, 214, 31, 24, 175, 219, 681, 224, 74, 2, 3, 185, 192, opel
94, 39, 89, 194, 62, 9, 172, 38, 21, 135, 191, 444, 121, 63, 4, 23, 201, 209, opel
90, 41, 71, 169, 68, 7, 150, 44, 19, 138, 175, 336, 157, 71, 3, 18, 192, 197, bus
88, 44, 85, 139, 56, 11, 157, 43, 20, 155, 176, 363, 175, 76, 5, 16, 184, 195, van
100, 55, 101, 189, 57, 10, 222, 30, 25, 177, 225, 731, 211, 71, 7, 17, 188, 197, opel
93, 47, 85, 161, 65, 12, 155, 43, 19, 157, 179, 354, 178, 76, 2, 9, 184, 196, van
91, 36, 77, 157, 56, 7, 155, 42, 19, 126, 177, 361, 123, 65, 8, 15, 195, 201, saab
106, 53, 98, 193, 60, 10, 215, 31, 24, 169, 224, 681, 218, 73, 8, 21, 188, 197, saab
90, 50, 90, 188, 61, 10, 181, 36, 21, 158, 211, 492, 220, 69, 6, 19, 191, 199, saab
82, 41, 70, 155, 64, 7, 148, 45, 19, 138, 172, 328, 152, 72, 5, 17, 187, 195, bus
