@relation ecoli3
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, negative
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, negative
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, negative
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, negative
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, negative
0.41, 0.48, 0.48, 0.5, 0.51, 0.44, 0.51, negative
0.84, 0.49, 0.48, 0.5, 0.55, 0.78, 0.74, positive
0.85, 0.53, 0.48, 0.5, 0.53, 0.52, 0.35, negative
0.81, 0.44, 0.48, 0.5, 0.42, 0.67, 0.68, positive
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, negative
0.59, 0.61, 0.48, 0.5, 0.42, 0.42, 0.37, negative
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, negative
0.67, 0.61, 0.48, 0.5, 0.51, 0.37, 0.38, negative
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, negative
0.64, 0.78, 0.48, 0.5, 0.5, 0.36, 0.38, negative
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
0.78, 0.33, 0.48, 0.5, 0.57, 0.77, 0.79, positive
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, negative
0.62, 0.83, 0.48, 0.5, 0.46, 0.36, 0.4, negative
0.44, 0.51, 0.48, 0.5, 0.47, 0.26, 0.36, negative
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, negative
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, negative
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, negative
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, negative
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, negative
0.61, 0.66, 0.48, 0.5, 0.46, 0.87, 0.88, negative
0.84, 0.54, 0.48, 0.5, 0.75, 0.92, 0.7, positive
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, negative
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.23, 0.58, 0.48, 0.5, 0.37, 0.53, 0.59, negative
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, negative
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, negative
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, negative
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, negative
0.78, 0.68, 0.48, 0.5, 0.83, 0.4, 0.29, negative
0.71, 0.46, 1.0, 0.5, 0.52, 0.59, 0.3, negative
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, negative
0.63, 0.49, 0.48, 0.5, 0.54, 0.76, 0.79, negative
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, negative
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, negative
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, negative
0.7, 0.53, 0.48, 0.5, 0.7, 0.86, 0.87, positive
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, negative
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, negative
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, negative
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, negative
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, negative
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, negative
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, negative
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, negative
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, negative
0.69, 0.59, 0.48, 0.5, 0.77, 0.39, 0.21, negative
0.67, 0.37, 0.48, 0.5, 0.54, 0.64, 0.68, positive
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, negative
0.74, 0.9, 0.48, 0.5, 0.57, 0.53, 0.29, negative
0.71, 0.52, 0.48, 0.5, 0.64, 1.0, 0.99, negative
0.7, 0.71, 0.48, 0.5, 0.42, 0.84, 0.85, negative
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, negative
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, negative
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, negative
0.64, 0.81, 0.48, 0.5, 0.37, 0.39, 0.44, negative
0.71, 0.71, 0.48, 0.5, 0.68, 0.43, 0.36, negative
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, negative
0.86, 0.39, 0.48, 0.5, 0.59, 0.89, 0.9, positive
0.57, 0.59, 0.48, 0.5, 0.39, 0.47, 0.33, negative
