@relation ecoli3
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, negative
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.69, 0.66, 0.48, 0.5, 0.41, 0.5, 0.25, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, negative
0.75, 0.37, 0.48, 0.5, 0.64, 0.7, 0.74, positive
0.59, 0.29, 0.48, 0.5, 0.64, 0.75, 0.77, positive
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, negative
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, negative
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, negative
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, negative
0.75, 0.55, 1.0, 1.0, 0.4, 0.47, 0.3, negative
0.69, 0.39, 0.48, 0.5, 0.57, 0.76, 0.79, negative
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, negative
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, negative
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, negative
0.65, 0.57, 0.48, 0.5, 0.47, 0.47, 0.51, negative
0.79, 0.54, 0.48, 0.5, 0.5, 0.66, 0.68, positive
0.63, 1.0, 0.48, 0.5, 0.35, 0.51, 0.49, negative
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
0.74, 0.78, 0.48, 0.5, 0.75, 0.54, 0.15, negative
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.73, 0.26, 0.48, 0.5, 0.57, 0.75, 0.78, positive
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, negative
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, negative
0.1, 0.49, 0.48, 0.5, 0.41, 0.67, 0.21, negative
0.64, 0.84, 0.48, 0.5, 0.37, 0.45, 0.4, negative
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, negative
0.71, 0.4, 0.48, 0.5, 0.71, 0.7, 0.74, negative
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, negative
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
0.62, 0.42, 0.48, 0.5, 0.58, 0.79, 0.81, positive
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, negative
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, negative
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, negative
0.69, 0.43, 0.48, 0.5, 0.59, 0.74, 0.77, positive
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, negative
0.63, 0.86, 0.48, 0.5, 0.39, 0.47, 0.34, negative
0.73, 0.78, 0.48, 0.5, 0.58, 0.51, 0.31, negative
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, negative
0.32, 0.39, 0.48, 0.5, 0.53, 0.28, 0.38, negative
0.25, 0.37, 0.48, 0.5, 0.41, 0.33, 0.42, negative
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, negative
0.61, 0.75, 0.48, 0.5, 0.51, 0.33, 0.33, negative
0.62, 0.78, 0.48, 0.5, 0.47, 0.49, 0.54, negative
0.79, 0.41, 0.48, 0.5, 0.66, 0.81, 0.83, positive
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, negative
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, negative
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, negative
0.71, 0.86, 0.48, 0.5, 0.4, 0.54, 0.32, negative
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, negative
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, negative
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, negative
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, negative
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, negative
0.74, 0.82, 0.48, 0.5, 0.49, 0.49, 0.41, negative
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, negative
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, negative
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, negative
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, negative
0.74, 0.49, 0.48, 0.5, 0.42, 0.54, 0.36, negative
