@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
179183.0, 175973.0, 78429.1, 4680.73, 8117.13, 8023.0, 1.7328
206035.0, 186774.0, 79129.5, 4342.43, 5715.18, 8159.0, 1.5835
199096.0, 168691.0, 126091.0, 13155.7, 24428.0, 8525.0, 1.87965
178383.0, 175790.0, 126510.0, 4953.62, 0.0, 9159.0, 1.63666
145519.0, 175426.0, 177686.0, 1568.88, 11043.8, 7347.0, 1.76612
169131.0, 183613.0, 177847.0, 23634.3, 19479.5, 6839.0, 2.01582
172546.0, 150002.0, 179549.0, 28671.3, 28052.5, 9787.0, 3.28301
164649.0, 166545.0, 154624.0, 9638.12, 13303.7, 10234.0, 2.17373
134311.0, 163733.0, 201342.0, 36983.3, 53541.4, 10123.0, 3.90895
106940.0, 181710.0, 201232.0, 17637.3, 39439.1, 9166.0, 3.81473
181733.0, 154389.0, 161780.0, 5963.51, 28095.8, 9328.0, 1.84554
163295.0, 138952.0, 136311.0, 5917.41, 11907.5, 9217.0, 1.85904
145538.0, 142311.0, 179580.0, 8063.38, 25545.0, 9371.0, 2.51787
124480.0, 142078.0, 164750.0, 4965.49, 6713.44, 9310.0, 2.37613
110599.0, 138621.0, 183065.0, 5879.09, 26131.6, 8882.0, 2.22508
123534.0, 145821.0, 197500.0, 9583.1, 30969.2, 10562.0, 2.57566
116506.0, 155092.0, 173134.0, 0.0, 10872.0, 11633.0, 2.40327
115415.0, 157140.0, 184303.0, 0.0, 15070.6, 11725.0, 2.39342
78746.8, 152801.0, 111752.0, 0.0, 681.644, 12013.0, 1.7285
90827.6, 139263.0, 96827.4, 0.0, 2289.19, 12140.0, 1.82045
136204.0, 142446.0, 171006.0, 0.0, 17637.7, 11297.0, 2.4202
114195.0, 152607.0, 169814.0, 5713.87, 4864.28, 11473.0, 2.04242
100055.0, 138597.0, 109814.0, 0.0, 800.86, 11344.0, 1.67901
130026.0, 153559.0, 129564.0, 0.0, 12550.3, 10694.0, 1.96609
92719.0, 159306.0, 91061.9, 0.0, 2458.74, 11800.0, 1.62473
156215.0, 146078.0, 154821.0, 2669.52, 17667.6, 12246.0, 2.25699
76643.0, 149349.0, 155832.0, 3340.57, 15356.4, 10966.0, 2.1727
