@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
187029.0, 171382.0, 51913.4, 5342.54, 0.0, 8346.0, 0.955205
196005.0, 174005.0, 163366.0, 18572.0, 35587.1, 8751.0, 2.17647
188784.0, 160203.0, 188728.0, 32188.3, 11956.1, 9031.0, 3.28635
177317.0, 153273.0, 202543.0, 57812.1, 7251.62, 8577.0, 2.34107
158115.0, 175634.0, 181930.0, 16199.3, 19897.6, 7652.0, 1.90918
173246.0, 178497.0, 170487.0, 16439.5, 18514.0, 6532.0, 1.97025
180700.0, 165416.0, 151031.0, 14308.8, 18351.4, 7845.0, 1.84856
177566.0, 168075.0, 179508.0, 19331.8, 33001.3, 9780.0, 2.48464
140921.0, 168626.0, 177857.0, 0.0, 18967.2, 10408.0, 1.96765
119129.0, 178550.0, 219030.0, 19326.6, 50630.0, 10413.0, 3.32405
173502.0, 173392.0, 141195.0, 11687.1, 26899.9, 8998.0, 2.15968
172518.0, 161910.0, 165860.0, 8332.7, 25865.0, 9115.0, 1.78204
180530.0, 161300.0, 162285.0, 8367.5, 27579.7, 8110.0, 1.81792
151905.0, 140613.0, 170505.0, 5801.43, 27574.9, 9431.0, 3.00451
121900.0, 139865.0, 179253.0, 5901.94, 41733.4, 10758.0, 2.83681
100730.0, 139326.0, 173984.0, 5839.45, 7113.33, 10849.0, 2.40433
82003.1, 143023.0, 153182.0, 5985.84, 2064.71, 10845.0, 2.27033
113283.0, 140823.0, 192779.0, 5948.66, 31383.5, 11461.0, 3.75844
95590.8, 157468.0, 145455.0, 6255.32, 0.0, 11982.0, 1.88574
117456.0, 149908.0, 203245.0, 9612.5, 22077.2, 10494.0, 2.50617
114560.0, 167277.0, 179313.0, 0.0, 10601.9, 11025.0, 2.2995
86034.1, 166190.0, 151423.0, 0.0, 4296.16, 12080.0, 2.09413
102000.0, 131861.0, 132941.0, 0.0, 6841.77, 11912.0, 2.03694
139750.0, 149921.0, 143836.0, 1569.08, 10118.8, 11066.0, 2.13202
123189.0, 153571.0, 108454.0, 0.0, 830.934, 11543.0, 1.8381
137741.0, 152334.0, 141613.0, 0.0, 21169.0, 11907.0, 2.1057
105054.0, 154754.0, 152361.0, 44.8934, 6057.11, 11805.0, 2.05321
105428.0, 152943.0, 181860.0, 6325.76, 34569.5, 9982.0, 2.49441
107450.0, 145090.0, 169750.0, 6969.19, 31542.5, 10986.0, 2.23359
