@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
191098.0, 169601.0, 171592.0, 24518.3, 33458.4, 8875.0, 2.21565
177753.0, 168362.0, 215844.0, 45232.2, 10296.6, 8079.0, 4.08083
156817.0, 174604.0, 188411.0, 24222.8, 20350.5, 5307.0, 2.1768
159149.0, 175571.0, 103228.0, 3741.2, 1147.85, 8546.0, 1.21431
170866.0, 180046.0, 156710.0, 16183.3, 17754.0, 7808.0, 1.1095
183148.0, 149012.0, 175547.0, 13843.4, 21271.8, 8307.0, 1.96111
162730.0, 146965.0, 165217.0, 12339.5, 13109.5, 10149.0, 2.28642
166952.0, 168409.0, 170413.0, 23254.4, 26678.5, 10218.0, 1.9168
168903.0, 172762.0, 172683.0, 25134.6, 27476.4, 10078.0, 2.19677
163292.0, 169474.0, 182789.0, 20309.6, 32348.7, 10957.0, 2.56002
158758.0, 172485.0, 195032.0, 12306.2, 37469.8, 9791.0, 2.47207
143097.0, 162829.0, 197361.0, 37958.0, 47108.6, 9752.0, 3.89674
150122.0, 172673.0, 177446.0, 17518.2, 37597.9, 9551.0, 2.7289
165339.0, 152126.0, 89567.4, 6305.0, 12133.1, 9589.0, 0.960987
150010.0, 144417.0, 119162.0, 5133.27, 9892.63, 9149.0, 2.13452
149500.0, 139614.0, 171480.0, 5866.72, 41343.1, 9164.0, 3.03649
104688.0, 146940.0, 189343.0, 6315.17, 43412.2, 11448.0, 3.13517
114440.0, 148506.0, 195347.0, 5873.44, 34522.3, 12240.0, 2.77649
134957.0, 153716.0, 185097.0, 6080.48, 18787.9, 11441.0, 2.47422
126120.0, 149154.0, 199565.0, 6495.41, 22143.8, 11638.0, 2.21261
132015.0, 151429.0, 170751.0, 4140.0, 23589.7, 10552.0, 2.36565
132942.0, 152130.0, 165062.0, 1903.99, 18713.1, 10609.0, 2.59007
