@relation dee
@attribute Hydroelectric real[27881.8,206035.0]
@attribute Nuclear real[114760.0,187105.0]
@attribute Coal real[33537.0,234833.0]
@attribute Fuel real[0.0,67986.5]
@attribute Gas real[0.0,84452.2]
@attribute Special real[5307.0,16357.0]
@attribute Consume real[0.765853,5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
198435.0, 180633.0, 64465.2, 4566.84, 0.0, 8215.0, 1.50531
190729.0, 176396.0, 170338.0, 27696.3, 28071.3, 8986.0, 2.27647
180454.0, 162188.0, 211183.0, 55388.0, 9908.5, 8269.0, 3.67201
172992.0, 187105.0, 152094.0, 17147.2, 16824.6, 7362.0, 3.03418
173086.0, 161469.0, 175422.0, 24027.3, 24311.6, 10603.0, 2.95668
175066.0, 172162.0, 173109.0, 21701.9, 29528.9, 9046.0, 2.78725
149702.0, 175063.0, 138467.0, 5525.03, 11007.9, 10714.0, 1.93015
170380.0, 173539.0, 171161.0, 16252.8, 24674.2, 10888.0, 2.20589
155727.0, 172762.0, 185218.0, 17813.6, 34197.5, 10542.0, 2.03545
145837.0, 171697.0, 200216.0, 18384.0, 31216.3, 9993.0, 4.12236
127643.0, 172389.0, 221011.0, 33218.1, 52620.7, 9850.0, 4.02099
94601.2, 172892.0, 197017.0, 6137.55, 22221.5, 10198.0, 2.09604
84919.0, 169511.0, 175126.0, 5989.34, 15004.8, 9495.0, 1.79773
112841.0, 174227.0, 190568.0, 21612.8, 41869.0, 9534.0, 3.39448
176506.0, 162967.0, 128097.0, 6418.12, 18572.7, 8742.0, 1.84853
131609.0, 137988.0, 188173.0, 5912.13, 36070.6, 9252.0, 3.19877
116093.0, 143695.0, 192887.0, 6002.19, 38779.1, 9388.0, 3.23633
113627.0, 141405.0, 198537.0, 5966.32, 41732.7, 10970.0, 3.25505
130642.0, 152670.0, 187379.0, 8936.6, 20331.5, 11868.0, 2.14667
120000.0, 146287.0, 194171.0, 6445.11, 26976.2, 11060.0, 2.5725
103216.0, 142308.0, 113931.0, 0.0, 980.974, 12018.0, 1.96036
131399.0, 158122.0, 178054.0, 2446.44, 5677.63, 11303.0, 2.35045
151393.0, 147582.0, 137386.0, 0.0, 10558.6, 10766.0, 1.8168
112099.0, 137174.0, 87366.5, 0.0, 7322.1, 8888.0, 1.69151
146445.0, 149376.0, 99627.2, 0.0, 11283.0, 10672.0, 2.11948
71971.7, 121645.0, 192129.0, 17191.8, 32351.7, 11177.0, 3.38977
48246.4, 125319.0, 191293.0, 4087.1, 32655.3, 11619.0, 2.62176
77292.6, 123921.0, 195372.0, 37311.5, 45609.6, 12652.0, 3.97595
